hotel,price,city,gps,average review
Hotel Ou Autre,9900,Bejaia,"[36.7508053, 5.0567081]",4
Hôtel,9900,Bejaia,"[36.7497316, 5.050447]",2.5
Hôtel taïs,9900,Bejaia,"[36.7514502, 5.0557713]",3.8
Hôtel Essalem,9900,Bejaia,"[36.7294239, 5.0597485]",4.1
Hôtel Thiziri,9900,Bejaia,"[36.7408679, 5.0592638]",3.9
Hôtel Delphine,9900,Bejaia,"[36.8103244, 4.9892421]",2.7
Hôtel Cap Carbon,9900,Bejaia,"[36.7605974, 5.0910125]",4.2
Le Belvédère Hôtel,9900,Bejaia,"[36.7610063, 5.0889287]",5
Afric Hotel,6075,Algiers,"[36.7803563, 3.058772]",4.1
Hôtel El Aurassi,12825,Algiers,"[36.7764399, 3.0509035]",4.1
Nelson Hotel,6480,Algiers,"[36.7900927, 3.0601361]",4.2
Hôtel Saint Eugène,15255,Algiers,"[36.7967598, 3.0477974]",4.7
The Post Hotel,9900,Algiers,"[36.7802054, 3.0605697]",4
Hôtel RALF,15255,Algiers,"[36.768639, 3.049401]",4.7
Oasis Hotel,4185,Algiers,"[36.7410913, 3.0917937]",3.3
Hôtel Audin,7830,Algiers,"[36.7686374, 3.0540299]",4
City Hotel Algiers,5535,Algiers,"[36.7626114, 3.0564456]",3.8
Space Telemly Hotel,8370,Algiers,"[36.7697274, 3.0506393]",4.4
Atlantis Hotel - Algiers,11880,Algiers,"[36.7753121, 3.0112195]",4.5
The Legacy Luxury Hotel,12150,Algiers,"[36.7517764, 3.0189749]",4.2
Hôtel Suisse,8640,Algiers,"[36.7676807, 3.0528687]",3.8
Hotel El Djazair,10530,Algiers,"[36.7539677, 3.0462679]",4.1
Sidi Yahia Hotel,12690,Algiers,"[36.7393836, 3.0367565]",4
Hôtel Elghanami,11070,Algiers,"[36.7592291, 3.0554404]",4.3
AD Hotel Hydra,11880,Algiers,"[36.7517345, 3.0398417]",4.4
Hôtel des Etrangers - Square Port Said,9900,Algiers,"[36.7803397, 3.0598174]",2.4
El Kettani Hotel,9900,Algiers,"[36.7920189, 3.0605936]",3.5
Terminus Hotel,9900,Algiers,"[36.7803614, 3.0613358]",3.2
Hôtel El Badr,9900,Algiers,"[36.7829314, 3.061025]",2.6
Hotel Astrid,9900,Algiers,"[36.7806912, 3.0595992]",3.2
Hotel Amirouche,9900,Algiers,"[36.780406, 3.0580583]",3.4
Hôtel Tunis,9900,Algiers,"[36.7820131, 3.0608908]",3.4
Grand Hôtel des étrangers,9900,Algiers,"[36.7806316, 3.0600924]",5
HOTEL LA FAMILLE,9900,Algiers,"[36.7897492, 3.0599637]",3.7
Hydra Hotel,4455,Algiers,"[36.7382034, 3.0300499]",3.4
Hotel Saray,9045,Algiers,"[36.73476, 3.053754]",4.3
Hôtel Ikram El Dhayf,9990,Algiers,"[36.7503132, 3.0583151]",4.3
"AD Hotel, Hydra",16200,Algiers,"[36.7506706, 3.0229354]",4.5
Hôtel du Val,14040,Algiers,"[36.7585526, 3.0258206]",4.2
Plaza Hotel Algiers,6480,Algiers,"[36.7551362, 3.0596954]",3.7
Hotel Dar Diaf,9900,Algiers,"[36.7513889, 3.0517932]",4
Hotel restaurant le 103,9900,Algiers,"[36.7391177, 3.0344332]",4.5
El Bey Hotel - Jijel,11205,Jijel,"[36.811768, 5.777539]",4.6
